mode,mesh,nodes,region,variables,component,quantity,L1,L2,Linf
efficient,20,4752,all,primitive,w,dz,2.9429312811979295e-17,5.617070598932502e-17,7.062649652665818e-16
efficient,20,4752,all,primitive,w,gradient,5.176732058992513e-17,8.172820908712784e-17,9.974091701730054e-16
efficient,20,4752,all,primitive,w,value,1.3348589882457199e-17,1.7966424617045642e-17,1.2813914426063056e-16
efficient,20,4752,boundary,conservative,rho,dx,6.461910837627758e-16,1.1985090241724685e-15,9.101951776915168e-15
efficient,20,4752,boundary,conservative,rho,dy,6.631447500064458e-16,1.2064125194422325e-15,7.717893164838063e-15
efficient,20,4752,boundary,conservative,rho,dz,1.2556985730343767e-15,1.825104644690653e-15,9.50950337355247e-15
efficient,20,4752,boundary,conservative,rho,gradient,1.9974406304846855e-15,2.4945664978431e-15,1.1879866392759017e-14
efficient,20,4752,boundary,conservative,rho,mean,3.5223774897548227e-16,4.571213204908769e-16,1.6805133673525319e-15
efficient,20,4752,boundary,conservative,rho,value,2.9646027018289226e-16,3.954109691905272e-16,2.297424403496784e-15
efficient,20,4752,boundary,conservative,rhoE,dx,2.039786568551532e-15,3.705352457992739e-15,2.8371020861257942e-14
efficient,20,4752,boundary,conservative,rhoE,dy,2.0841220280059186e-15,3.75721391053188e-15,2.4970955648563348e-14
efficient,20,4752,boundary,conservative,rhoE,dz,3.4056621345624502e-15,4.853654943521058e-15,2.3747232750104957e-14
efficient,20,4752,boundary,conservative,rhoE,gradient,5.877386032570181e-15,7.16967638866731e-15,3.5128703948635276e-14
efficient,20,4752,boundary,conservative,rhoE,mean,1.0712304254365489e-15,1.3361021330699246e-15,4.662503022556663e-15
efficient,20,4752,boundary,conservative,rhoE,value,1.580446883957156e-15,1.9999954338828454e-15,7.703473275944006e-15
efficient,20,4752,boundary,conservative,rhou,dx,2.1554446286262652e-16,3.9217290706356935e-16,2.4665171672406862e-15
efficient,20,4752,boundary,conservative,rhou,dy,2.1496535838727906e-16,3.845581459406186e-16,2.816172791383735e-15
efficient,20,4752,boundary,conservative,rhou,dz,3.713592789521202e-16,5.279256822530985e-16,2.4586359491829586e-15
efficient,20,4752,boundary,conservative,rhou,gradient,6.282652537816025e-16,7.618333693311006e-16,3.420404977286758e-15
efficient,20,4752,boundary,conservative,rhou,mean,1.0724998342789505e-16,1.3319288363166113e-16,4.701100619897147e-16
efficient,20,4752,boundary,conservative,rhou,value,9.54746984914624e-17,1.2256117986721716e-16,6.985514597324105e-16
efficient,20,4752,boundary,conservative,rhov,dx,1.0966229308306653e-16,1.9870054664601262e-16,1.2314760027828464e-15
efficient,20,4752,boundary,conservative,rhov,dy,1.1297434525213912e-16,2.0662782726728733e-16,1.6500273810314287e-15
efficient,20,4752,boundary,conservative,rhov,dz,1.9219654518136615e-16,2.7186813636188e-16,1.246598717264888e-15
efficient,20,4752,boundary,conservative,rhov,gradient,3.2520269422434e-16,3.950813204993447e-16,1.837885289899529e-15
efficient,20,4752,boundary,conservative,rhov,mean,5.395848451054389e-17,6.762903572895093e-17,2.3597660284147004e-16
efficient,20,4752,boundary,conservative,rhov,value,4.974482587263412e-17,6.445421302691971e-17,3.067750047047735e-16
efficient,20,4752,boundary,conservative,rhow,dx,6.795822640334083e-17,1.2302811744870806e-16,1.2609351734136406e-15
efficient,20,4752,boundary,conservative,rhow,dy,7.171260220791624e-17,1.330502278778222e-16,9.982012232848808e-16
